City Name,Country,Latitude,Longitude,Max Temperature (*F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Date
Avarua,CK,-21.2078,-159.775,78.8,89,98,3.44,1612855554
Saint-Pierre,RE,-21.3393,55.4781,89.6,51,0,18.41,1612856100
Busselton,AU,-33.65,115.3333,73.0,65,50,5.01,1612855545
Uglich,RU,57.5275,38.3317,1.81,89,99,2.28,1612856100
Vaini,TO,-21.2,-175.2,77.0,94,90,17.27,1612855540
Ilo,PE,-17.6394,-71.3375,70.36,82,100,7.38,1612856100
Bairiki Village,KI,1.3292,172.9752,80.6,89,40,10.36,1612856101
Grand Gaube,MU,-20.0064,57.6608,84.99,68,1,5.99,1612855617
Ilulissat,GL,69.2167,-51.1,24.8,39,0,18.41,1612855664
Anadyr,RU,64.75,177.4833,6.8,78,40,2.24,1612856101
Rikitea,PF,-23.1203,-134.9692,78.37,73,28,10.0,1612855539
Bluff,NZ,-46.6,168.3333,53.78,82,68,13.47,1612855548
Ushuaia,AR,-54.8,-68.3,51.8,82,40,1.97,1612855542
Tuatapere,NZ,-46.1333,167.6833,52.07,89,92,8.95,1612855546
Iisalmi,FI,63.5592,27.1907,8.6,85,90,1.14,1612856101
Banda Aceh,ID,5.5577,95.3222,86.29,66,12,13.69,1612855551
Port Keats,AU,-14.25,129.55,82.8,75,100,10.65,1612856102
Kapaa,US,22.0752,-159.319,69.8,73,40,11.5,1612855545
Hrodna,BY,53.6884,23.8258,15.8,79,90,8.95,1612856102
Tarime,TZ,-1.35,34.3667,71.6,78,20,5.75,1612856102
Butaritari,KI,3.0707,172.7902,81.77,80,2,19.75,1612855541
Barrow,US,71.2906,-156.7887,-34.6,85,1,11.5,1612855502
Kruisfontein,ZA,-34.0033,24.7314,80.01,52,0,1.01,1612855554
Khatanga,RU,71.9667,102.5,-20.45,83,0,9.95,1612855549
Saint-Philippe,RE,-21.3585,55.7679,89.6,51,0,18.41,1612855542
Faanui,PF,-16.4833,-151.75,81.9,73,0,13.78,1612855556
Castro,BR,-24.7911,-50.0119,57.18,91,96,7.54,1612855545
Linqiong,CN,30.4159,103.4609,66.0,52,40,2.24,1612856103
Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,73,2.57,1612855539
Lüderitz,NA,-26.6481,15.1594,68.13,68,0,11.95,1612856103
Bethel,US,41.3712,-73.414,16.0,78,20,1.5,1612855555
Hobyo,SO,5.3505,48.5268,80.64,62,100,24.67,1612855540
Cape Town,ZA,-33.9258,18.4232,75.0,64,20,20.71,1612855262
Provideniya,RU,64.3833,-173.3,-0.89,82,79,13.29,1612855545
Casablanca,MA,33.5928,-7.6192,57.2,100,75,10.36,1612856103
Wasilla,US,61.5814,-149.4394,6.8,36,1,12.66,1612855931
Bandar-e Lengeh,IR,26.5579,54.8807,73.4,64,15,6.91,1612856103
Baloda Bāzār,IN,21.6667,82.1667,85.37,14,0,3.78,1612856104
Chui,UY,-33.6971,-53.4616,63.82,93,72,4.14,1612855565
Mežica,SI,46.5214,14.8544,39.99,100,75,2.3,1612856104
Nikolskoye,RU,59.7035,30.7861,6.01,85,75,0.76,1612855545
Praia,CV,14.9215,-23.5087,68.0,73,20,23.02,1612856104
Meiktila,MM,20.8667,95.8667,83.75,25,0,10.96,1612856104
Grindavik,IS,63.8424,-22.4338,30.2,74,0,11.5,1612855549
Umluj,SA,25.0213,37.2685,79.92,32,9,7.74,1612856104
Sorong,ID,-0.8833,131.25,84.38,74,100,6.4,1612856104
Naryan-Mar,RU,67.6713,53.087,-9.11,90,100,10.96,1612856105
Clyde River,CA,70.4692,-68.5914,1.4,85,1,18.41,1612855615
Srednekolymsk,RU,67.45,153.6833,-17.12,87,25,6.26,1612855565
Wooster,US,40.8051,-81.9351,21.99,79,90,6.91,1612856105
Baoro,CF,5.6667,15.9667,80.31,16,100,8.7,1612856105
Port Hardy,CA,50.6996,-127.4199,35.6,93,20,5.75,1612856105
Albany,US,42.6001,-73.9662,19.0,60,100,1.61,1612855538
Qaanaaq,GL,77.484,-69.3632,19.51,74,97,6.31,1612855547
Alto Araguaia,BR,-17.3147,-53.2153,64.98,83,5,3.94,1612856105
Sitka,US,57.0531,-135.33,17.6,53,90,10.36,1612856106
Punta Arenas,CL,-53.15,-70.9167,50.0,87,0,5.75,1612855454
Vilyuysk,RU,63.7553,121.6247,-24.56,85,94,0.94,1612856106
Mozarlândia,BR,-14.7447,-50.5706,69.28,98,48,5.03,1612856106
Hasaki,JP,35.7333,140.8333,48.0,21,20,17.27,1612855552
Saldanha,ZA,-33.0117,17.9442,71.6,73,1,11.5,1612855540
Laguna,US,38.421,-121.4238,55.99,76,75,4.61,1612855821
Lavrentiya,RU,65.5833,-171.0,-5.53,84,93,11.79,1612856106
Aguazul,CO,5.1728,-72.5471,77.94,63,100,3.15,1612856106
Bredasdorp,ZA,-34.5322,20.0403,73.4,64,0,2.3,1612855542
Ribeira Grande,PT,38.5167,-28.7,60.8,100,75,23.02,1612855552
Guerrero Negro,MX,27.9769,-114.0611,57.36,84,0,6.4,1612856107
Iqaluit,CA,63.7506,-68.5145,21.2,79,75,1.57,1612855557
Dikson,RU,73.5069,80.5464,-29.33,86,90,10.83,1612855544
Thompson,CA,55.7435,-97.8558,-22.0,69,90,9.22,1612855585
Port Alfred,ZA,-33.5906,26.891,77.0,75,0,3.22,1612855547
Wuwei,CN,37.9281,102.6414,48.56,37,6,3.44,1612856107
Moctezuma,MX,29.8,-109.6667,56.01,36,0,0.67,1612856107
Hermanus,ZA,-34.4187,19.2345,75.99,70,0,1.99,1612855547
Dingle,PH,10.9995,122.6711,76.26,87,99,10.89,1612855546
Puerto Rondón,CO,6.2805,-71.1,76.14,70,100,5.59,1612856108
Havøysund,NO,70.9963,24.6622,19.4,79,75,9.22,1612856108
Shelburne,CA,44.0787,-80.2041,12.0,84,100,3.74,1612855935
Tasiilaq,GL,65.6145,-37.6368,19.4,53,40,24.16,1612856108
Husavik,IS,66.0449,-17.3389,28.4,86,75,5.75,1612855539
Saskylakh,RU,71.9167,114.0833,-27.67,83,21,3.76,1612855613
Asekeyevo,RU,53.5742,52.7972,-10.03,88,88,7.9,1612856108
Leer,SS,8.3018,30.1418,85.66,14,100,9.42,1612856109
Tuktoyaktuk,CA,69.4541,-133.0374,-43.6,66,1,5.75,1612855549
Saraland,US,30.8207,-88.0706,55.99,96,100,3.27,1612856109
Lokosovo,RU,61.1333,74.8167,-1.17,92,98,2.89,1612856109
Kavieng,PG,-2.5744,150.7967,84.74,73,31,8.84,1612855389
Talnakh,RU,69.4865,88.3972,-2.34,91,86,2.28,1612855558
Hay River,CA,60.8156,-115.7999,-20.2,69,100,19.57,1612856109
Yellowknife,CA,62.456,-114.3525,-23.8,69,90,17.27,1612855541
Bay Roberts,CA,47.5999,-53.2648,34.0,93,100,13.0,1612855614
Atuona,PF,-9.8,-139.0333,79.5,79,1,22.44,1612855550
Gusau,NG,12.1628,6.6614,72.19,19,14,15.73,1612856109
Vostok,RU,46.4856,135.8833,-2.61,92,98,3.69,1612856110
Hilo,US,19.7297,-155.09,69.8,83,20,2.39,1612855543
Codrington,AU,-38.2667,141.9667,66.85,61,0,14.85,1612855553
Mar del Plata,AR,-38.0023,-57.5575,64.0,72,75,9.22,1612855544
Opelousas,US,30.5335,-92.0815,60.01,88,90,4.05,1612856110
Hofn,IS,64.2539,-15.2082,33.03,89,100,8.9,1612856110
Port Lincoln,AU,-34.7333,135.8667,75.76,48,71,7.18,1612855557
Sola,VU,-13.8833,167.55,86.0,79,75,4.27,1612856110
Mataura,NZ,-46.1927,168.8643,50.95,95,100,4.32,1612855543
Cidreira,BR,-30.1811,-50.2056,72.21,80,0,14.97,1612855665
Lebu,CL,-37.6167,-73.65,58.6,93,28,10.58,1612856110
Geraldton,AU,-28.7667,114.6,78.8,38,0,16.11,1612855851
Mehrān,IR,33.1222,46.1646,55.4,47,0,4.61,1612856111
Krasnoborsk,RU,61.5598,45.934,-14.51,87,0,4.25,1612856111
Ballina,AU,-28.8667,153.5667,77.0,60,90,14.97,1612856111
Djambala,CG,-2.5447,14.7533,78.26,71,100,7.0,1612856111
Baykit,RU,61.67,96.37,21.83,90,92,10.38,1612856111
Bonga,ET,7.2833,36.2333,78.94,40,96,4.14,1612856111
Port-Cartier,CA,50.0334,-66.8654,7.0,61,1,18.41,1612856111
Sumbe,AO,-11.2061,13.8437,80.6,65,40,3.53,1612856111
Coquimbo,CL,-29.9533,-71.3436,59.0,77,0,4.61,1612855618
Panalingaan,PH,8.7842,117.4231,82.06,74,97,3.04,1612856112
Pangkalanbuun,ID,-2.6833,111.6167,88.32,67,96,4.68,1612856087
Ahipara,NZ,-35.1667,173.1667,67.42,89,95,9.4,1612856112
Gwadar,PK,25.1216,62.3254,79.03,32,70,0.74,1612856112
East London,ZA,-33.0153,27.9116,75.2,60,0,5.75,1612855543
Gladstone,AU,-23.85,151.25,80.6,61,40,21.85,1612855881
Correntina,BR,-13.3433,-44.6367,66.25,94,97,1.03,1612856112
Lagoa,PT,39.05,-27.9833,60.17,91,100,31.52,1612856112
Nicoya,CR,10.1483,-85.452,77.0,61,0,12.66,1612855541
Nanortalik,GL,60.1432,-45.2371,28.9,91,96,12.33,1612855665
Baiyin,CN,36.5583,104.2081,48.2,11,0,6.71,1612856113
Rio Grande,BR,-32.035,-52.0986,64.99,97,50,8.3,1612855385
Khovd,MN,48.0056,91.6419,36.41,63,52,5.79,1612855565
Kaitangata,NZ,-46.2817,169.8464,55.0,80,100,8.01,1612855544
Broken Hill,AU,-31.95,141.4333,89.6,12,0,5.75,1612856113
Zutphen,NL,52.1383,6.2014,23.0,95,55,6.8,1612856113
San Cristobal,VE,7.7669,-72.225,67.91,86,100,0.4,1612856113
Richards Bay,ZA,-28.783,32.0377,79.12,80,79,8.05,1612856114
Abhā,SA,18.2164,42.5053,53.6,76,40,5.75,1612855984
Mizdah,LY,31.4451,12.9801,55.62,37,0,12.12,1612856114
Tura,IN,25.5198,90.2201,80.24,23,0,4.94,1612855539
Marrakesh,MA,31.6315,-8.0083,46.4,93,20,1.14,1612856114
Beringovskiy,RU,63.05,179.3167,0.57,93,100,9.73,1612856114
Ponta do Sol,PT,32.6667,-17.1,57.99,77,89,1.01,1612855542
Inhambane,MZ,-23.865,35.3833,84.2,70,40,6.91,1612856114
Pyapon,MM,16.2833,95.6833,89.37,15,1,4.07,1612856114
Folkestone,GB,51.0833,1.1833,30.0,83,97,10.0,1612856115
Freeport,US,40.6576,-73.5832,25.0,73,1,4.61,1612856048
New Norfolk,AU,-42.7826,147.0587,59.0,50,43,1.99,1612855552
Kholm,RU,59.2667,32.85,5.0,90,84,1.79,1612856115
Lubao,PH,14.9167,120.55,84.2,65,75,6.91,1612856115
Lázaro Cárdenas,MX,17.9583,-102.2,69.87,85,4,4.03,1612855548
Sørland,NO,67.667,12.6934,32.0,59,40,19.57,1612856115
Arlit,NE,18.7369,7.3853,74.62,15,100,8.1,1612856115
Winslow,US,35.0242,-110.6974,41.0,35,1,5.75,1612855938
Shimoda,JP,34.6667,138.95,46.4,42,20,9.22,1612856115
Kiama,AU,-34.6833,150.8667,72.0,74,48,7.87,1612856115
Ancud,CL,-41.8697,-73.8203,55.0,90,9,1.79,1612855615
Novaya Igirma,RU,57.1334,103.9112,34.05,87,100,7.11,1612856116
Mahon,ES,39.8885,4.2658,53.6,71,0,8.05,1612856116
Arrondissement de Nevers,FR,46.9167,3.3333,32.0,93,90,2.3,1612856116
Mahébourg,MU,-20.4081,57.7,80.6,83,40,11.5,1612855549
Carnarvon,AU,-24.8667,113.6333,86.0,89,0,19.57,1612855555
Taltal,CL,-25.4,-70.4833,64.06,80,94,3.74,1612855548
Campos dos Goytacazes,BR,-21.75,-41.3,68.27,97,100,5.35,1612855882
Kloulklubed,PW,7.0419,134.2556,82.4,74,90,9.22,1612856116
Raymond,US,43.9015,-70.4703,8.6,85,1,3.44,1612856117
Zeya,RU,53.75,127.2667,-2.51,89,77,1.9,1612856117
Torbay,CA,47.6666,-52.7314,33.01,93,90,33.38,1612855557
Alofi,NU,-19.0595,-169.9187,78.8,94,100,5.75,1612856117
Khilok,RU,51.3674,110.4676,26.92,93,54,0.98,1612856117
Marsaxlokk,MT,35.8419,14.5431,60.8,77,12,13.8,1612856117
Arraial do Cabo,BR,-22.9661,-42.0278,71.44,81,100,5.91,1612855553
Okhotsk,RU,59.3833,143.3,16.29,89,100,14.38,1612855763
Broome,US,42.2506,-75.833,19.99,73,90,4.61,1612855617
Fria,GN,10.4167,-13.5833,68.58,73,0,3.0,1612856118
Jamestown,US,42.097,-79.2353,19.99,93,90,1.21,1612855544
Álamos,MX,27.0167,-108.9333,60.94,40,6,2.95,1612856118
Kenai,US,60.5544,-151.2583,3.0,70,1,3.44,1612856115
Matara,LK,5.9485,80.5353,84.02,65,17,5.68,1612856118
San Andrés,CO,12.5847,-81.7006,80.6,78,20,6.91,1612856060
Adrar,MR,20.5022,-10.0711,55.83,36,0,9.31,1612856118
Mirny,RU,62.5353,113.9611,-10.21,91,99,4.83,1612856118
San Quintín,MX,30.4833,-115.95,54.61,88,33,1.63,1612856118
Marfino,RU,55.7028,37.3822,7.0,85,0,6.71,1612856118
Mujiayingzi,CN,42.1167,118.7833,30.34,90,0,6.44,1612855930
Vrangel',RU,42.7297,133.0839,20.68,85,46,16.08,1612856119
Mil'kovo,RU,54.7167,158.6167,21.15,96,100,11.34,1612856119
Te Anau,NZ,-45.4167,167.7167,49.39,90,95,4.5,1612856119
Chokurdakh,RU,70.6333,147.9167,-12.42,86,3,11.63,1612855665
Constitución,CL,-35.3333,-72.4167,60.21,85,0,5.66,1612855540
Najrān,SA,17.4924,44.1277,62.6,67,75,11.5,1612856119
Severo-Kuril'sk,RU,50.6789,156.125,22.78,90,97,17.29,1612856119
Lermontovka,RU,47.1453,134.3383,5.81,92,51,3.83,1612856119
Verkhoyansk,RU,67.5447,133.385,-32.03,78,0,1.86,1612856120
Upernavik,GL,72.7868,-56.1549,14.32,78,0,4.74,1612855545
Sungai Raya,ID,0.7,108.9,85.23,69,99,10.92,1612856120
Henties Bay,NA,-22.116,14.2845,68.0,85,7,5.41,1612855550
Ostrovnoy,RU,68.0531,39.5131,6.53,92,100,6.24,1612856120
Nioro,GM,13.35,-15.75,67.28,24,0,7.92,1612856120
Pisco,PE,-13.7,-76.2167,71.6,88,0,5.75,1612855543
Saint Anthony,US,45.0205,-93.218,-6.0,71,1,6.91,1612856120
Nyimba,ZM,-14.5566,30.8149,70.12,96,100,2.53,1612856050
Esperance,AU,-33.8667,121.9,75.2,46,0,14.97,1612855543
Porto-Novo,BJ,6.4965,2.6036,80.6,94,40,2.3,1612856121
Kirakira,SB,-10.4544,161.9205,80.82,82,100,8.77,1612856121
Airai,TL,-8.9266,125.4092,68.11,99,100,4.85,1612855548
Alta Floresta,BR,-9.8756,-56.0861,69.6,98,100,2.39,1612855856
Zhigansk,RU,66.7697,123.3711,-22.07,83,100,5.79,1612856121
Hobart,AU,-42.8794,147.3294,59.0,54,75,6.91,1612855542
Vardø,NO,70.3705,31.1107,23.0,86,75,21.85,1612855859
Pacifica,US,37.6138,-122.4869,53.01,87,90,4.61,1612856121
Bilibino,RU,68.0546,166.4372,-2.38,84,34,3.67,1612856121
Iskateley,RU,67.6803,53.1512,-9.11,90,100,10.96,1612856122
Tianpeng,CN,30.9866,103.9393,64.99,1,80,2.37,1612856122
Namatanai,PG,-3.6667,152.4333,82.49,81,100,7.94,1612855547
Bluefield,US,37.2698,-81.2223,39.2,65,75,9.22,1612856122
Dalvik,IS,65.9702,-18.5286,28.4,86,75,5.75,1612856122
Anloga,GH,5.7947,0.8973,80.6,83,20,5.75,1612856122
Calderitas,MX,18.55,-88.25,76.62,84,99,11.41,1612856122
San Buenaventura,MX,27.0833,-101.5333,61.0,46,0,2.33,1612856122
Paita,PE,-5.0892,-81.1144,73.63,79,97,9.73,1612856122
George Town,MY,5.4112,100.3354,89.6,66,20,6.91,1612855542
Tutubigan,PH,11.8397,125.0614,75.02,88,98,5.73,1612856123
Rome,US,43.2128,-75.4557,18.0,79,90,5.75,1612856123
Ovalle,CL,-30.5983,-71.2003,51.75,78,0,1.34,1612856057
Lata,PT,40.1629,-8.3327,53.01,95,100,3.0,1612856123
Longyearbyen,SJ,78.2186,15.6401,8.6,72,20,1.14,1612855858
Wajid,SO,3.8093,43.2471,89.53,35,27,23.22,1612856123
Fukuechō,JP,32.6881,128.8419,46.4,61,20,11.5,1612856123
Taunusstein,DE,50.15,8.15,25.0,68,75,3.71,1612856124
São Filipe,CV,14.8961,-24.4956,69.06,74,98,10.94,1612855551
Nurota,UZ,40.5614,65.6886,50.0,81,75,6.91,1612856124
Siedlce,PL,52.1677,22.2901,18.0,86,100,1.9,1612856124
Port Elizabeth,ZA,-33.918,25.5701,77.0,61,0,4.61,1612855309
Tazovsky,RU,67.4667,78.7,-10.84,89,96,8.28,1612856124
Baculin,PH,7.4525,126.5842,80.8,80,100,1.25,1612856124
Eureka,US,40.8021,-124.1637,46.99,88,69,1.01,1612856119
